ngo_name,title,sector,region,requested_amount,beneficiaries
Jeevika,Community Health Workers Training,livelihood,Uttar Pradesh,1566807,4779
Aarohi Foundation,Nutrition Awareness Drive,technology,Madhya Pradesh,856516,5821
Prayas Trust,Eye Care Camp,community development,Kerala,341735,425
Nirman Seva,Mid-Day Meal Enhancement,education,Delhi NCR,1005874,6382
Samarthan Foundation,Rainwater Harvesting,health,Odisha,1263781,703
Vidushi Foundation,Rural Library Network,environment,Northeast,1026395,7148
Arogya Seva,Craft Revival Programme,water and sanitation,Andhra Pradesh,473630,3163
Prakriti Seva Trust,Anti-Drug Campaign,women empowerment,West Bengal,1215905,3764
Jyoti Foundation,Legal Aid Clinic,livelihood,Punjab,1580217,1382
Pragya Seva Trust,Menstrual Hygiene Initiative,technology,Haryana,1602651,2960
Sahara Foundation,Skill India Partnership,community development,Jharkhand,928736,5540
Narmada Seva Sangh,Village Electrification,education,Chhattisgarh,1169786,5799
Uday Foundation,Clean Ganga Awareness,health,Uttarakhand,349483,5040
Shiksha Seva Trust,Organic Farming Training,environment,Himachal Pradesh,767807,4425
Vikas Seva Foundation,Street Children Rehabilitation,water and sanitation,Assam,1076811,1388
Saksham Seva Trust,Tuberculosis Detection Camp,women empowerment,Goa,1988859,3158
Anand Seva Trust,Digital Payment Literacy,livelihood,Jammu and Kashmir,1182243,7630
Parivartan Seva Foundation,Rural Telecom Access,technology,Maharashtra,2386016,1849
Asha Seva Trust,Children's Nutrition Programme,community development,Tamil Nadu,1410140,6954
Vidya Seva Trust,Senior Pension Support,education,Rajasthan,284620,1926
Roshni Seva Trust,Accessible Infrastructure Audit,health,Bihar,184638,6644
Sahaya Seva Trust,Mental Health Awareness,environment,Gujarat,1373105,3336
Greenleaf Seva Trust,Sanitation Block Construction,water and sanitation,Karnataka,1172986,592
Jan Kalyan Seva Trust,Women in Tech Training,women empowerment,Uttar Pradesh,934926,7530
Umeed Seva Trust,Artisan Market Access,livelihood,Madhya Pradesh,2428925,7229
Vasundhara Seva Trust,Farm Mechanization Support,technology,Kerala,1369854,1791
Sahajdoor Seva Trust,Solar Pump Installation,community development,Delhi NCR,2143927,3291
Jeevika Seva Trust,Biodiversity Survey,education,Odisha,1974564,1220
Aarohi Seva Trust,Transitional Housing Programme,health,Northeast,1160987,1193
Prayas Seva Trust,Teacher Training Institute,environment,Andhra Pradesh,1084430,6152
Nirman Seva Trust,Youth Sports Development,water and sanitation,West Bengal,2404548,4465
Samarthan Seva Trust,Waste Segregation Drive,women empowerment,Punjab,1152018,6169
Vidushi Seva Trust,Cataract Surgery Camp,livelihood,Haryana,1846981,7404
Arogya Seva Trust,Telemedicine Network,technology,Jharkhand,2497514,3321
Prakriti Seva Trust,Rural Banking Access,community development,Chhattisgarh,1568323,1846
Jyoti Seva Trust,Elderly Care Helpline,education,Uttarakhand,630205,4224
Pragya Seva Trust,Skill Upgrade for Workers,health,Himachal Pradesh,2119955,794
Sahara Seva Trust,Cooperative Formation,environment,Assam,247620,7104
Uday Seva Trust,Water Quality Testing,water and sanitation,Goa,509901,1302
Shiksha Seva Foundation,Seed Bank Initiative,women empowerment,Jammu and Kashmir,721013,6538
Vikas Seva Sangh,Toddler Development Centre,livelihood,Maharashtra,1820667,4935
Saksham Seva Sangh,Heritage Conservation,technology,Tamil Nadu,316454,3202
Anand Seva Sangh,Community Radio Station,community development,Rajasthan,1650627,4931
Parivartan Seva Sangh,Micro-Enterprise Incubation,education,Bihar,2013143,4384
Asha Seva Sangh,Thalassemia Support,health,Gujarat,1104507,4582
Vidya Seva Sangh,School Meal Quality Improvement,environment,Karnataka,98154,5622
Roshni Seva Sangh,Accessible Voting Initiative,water and sanitation,Uttar Pradesh,530464,5634
Sahaya Seva Sangh,Fire Safety Awareness,women empowerment,Madhya Pradesh,2302216,6201
Greenleaf Seva Sangh,Mid-Career Reskilling,livelihood,Kerala,1169145,6346
Jan Kalyan Seva Sangh,Drought Relief Programme,technology,Delhi NCR,1476799,963
Umeed Seva Sangh,School Infrastructure Upgrade,community development,Odisha,1281028,3611
Vasundhara Seva Sangh,Nutrition Garden,education,Northeast,713361,3766
Sahajdoor Seva Sangh,Disaster Preparedness Training,health,Andhra Pradesh,63611,7863
Jeevika Seva Sangh,Rural Broadband Access,environment,West Bengal,1154733,4150
Aarohi Seva Sangh,Blood Donation Network,water and sanitation,Punjab,799320,4208
Prayas Seva Sangh,Differently-Abled Employment,women empowerment,Haryana,496319,7181
Nirman Seva Sangh,Weaving Revival Programme,livelihood,Jharkhand,1301768,6944
Samarthan Seva Sangh,Solar Street Lights,technology,Chhattisgarh,2179292,5038
Vidushi Seva Sangh,Adolescent Girls Programme,community development,Uttarakhand,884293,1302
Arogya Seva Sangh,Organ Donor Awareness,education,Himachal Pradesh,1618308,6296
Prakriti Seva Sangh,Watershed Management,health,Assam,727585,4468
Jyoti Seva Sangh,Child Labour Rehabilitation,environment,Goa,2274464,7574
Pragya Seva Sangh,Health Insurance Literacy,water and sanitation,Jammu and Kashmir,52398,4956
Sahara Seva Sangh,Vocational Guidance Centre,women empowerment,Maharashtra,1409609,4052
Uday Seva Sangh,Eco-Tourism Development,livelihood,Tamil Nadu,131691,966
Shiksha Seva Sangh,Anemia Prevention Drive,technology,Rajasthan,1572451,7248
Vikas Seva Kendra,Rural Insurance Awareness,community development,Bihar,1339807,2011
Saksham Seva Kendra,Women's Legal Literacy,education,Gujarat,292955,2023
Anand Seva Kendra,Playground Construction,health,Karnataka,2429667,7807
Parivartan Seva Kendra,Waste Recycling Initiative,environment,Uttar Pradesh,380331,751
Asha Seva Kendra,Rural Diagnostic Centre,water and sanitation,Madhya Pradesh,2088391,6734
Vidya Seva Kendra,Cultural Exchange Programme,women empowerment,Kerala,340298,6280
Roshni Seva Kendra,Farmer Producer Organisation,livelihood,Delhi NCR,2284331,6323
Sahaya Seva Kendra,Drug De-Addiction Centre,technology,Odisha,577477,1101
Greenleaf Seva Kendra,Elderly Nutrition Programme,community development,Northeast,2043478,7806
Jan Kalyan Seva Kendra,Infrastructure Monitoring,education,Andhra Pradesh,2356043,1402
Umeed Seva Kendra,Community Health Insurance,health,West Bengal,1161728,4372
Vasundhara Seva Kendra,Digital India Programme,environment,Punjab,1824769,7950
Sahajdoor Seva Kendra,Women Cooperative Banks,water and sanitation,Haryana,938346,7659
Jeevika Seva Kendra,Clean Energy Awareness,women empowerment,Jharkhand,2311971,6237
Aarohi Seva Kendra,Rural Health Data System,livelihood,Chhattisgarh,893688,5890
Prayas Seva Kendra,School Counselling Programme,technology,Uttarakhand,1357432,3318
Nirman Seva Kendra,Handloom Revival Programme,community development,Himachal Pradesh,1616239,3638
Samarthan Seva Kendra,Water ATMs Installation,education,Assam,2220870,3748
Vidushi Seva Kendra,Vocational Guidance for Youth,health,Goa,557528,2080
Arogya Seva Kendra,Anti-Tobacco Campaign,environment,Jammu and Kashmir,992448,574
Prakriti Seva Kendra,Urban Slum Rehabilitation,water and sanitation,Maharashtra,1468033,222
Jyoti Seva Kendra,Night School Programme,women empowerment,Tamil Nadu,2373315,1935
Pragya Seva Kendra,Solar Cooker Distribution,livelihood,Rajasthan,973658,108
Sahara Seva Kendra,Mobile Veterinary Unit,technology,Bihar,347766,5848
Uday Seva Kendra,Legal Awareness Camp,community development,Gujarat,296934,1925
Shiksha Seva Kendra,Geriatric Care Programme,education,Karnataka,332697,7467
Vikas Seva Foundation,Youth Leadership Programme,health,Uttar Pradesh,181755,7092
Saksham Seva Foundation,Rural Cold Storage,environment,Madhya Pradesh,1435917,630
Anand Seva Foundation,Textile Skill Training,water and sanitation,Kerala,2206527,1999
Parivartan Seva Foundation,Amphibian Conservation,women empowerment,Delhi NCR,1218018,5530
Asha Seva Foundation,Agricultural Extension Services,livelihood,Odisha,2085975,1805
Vidya Seva Foundation,Senior Citizen Digital Literacy,technology,Northeast,2311711,1133
Roshni Seva Foundation,Hospital Equipment Donation,community development,Andhra Pradesh,2445128,4770
Sahaya Seva Foundation,School Lab Setup,education,West Bengal,2032525,2040
Greenleaf Seva Foundation,Rural Sanitary Napkin Unit,health,Punjab,2033792,6665
Jan Kalyan Seva Foundation,Wildlife Corridor Protection,environment,Haryana,1757333,1609
Umeed Seva Foundation,Village Knowledge Centre,water and sanitation,Jharkhand,445631,844
Vasundhara Seva Foundation,Medical Camp Van,women empowerment,Chhattisgarh,1857959,2952
Sahajdoor Seva Foundation,Anti-Poverty Initiative,livelihood,Uttarakhand,1826617,3417
Jeevika Seva Foundation,Youth Employment Programme,technology,Himachal Pradesh,2008843,7126
Aarohi Seva Foundation,Rural Housing Programme,community development,Assam,277210,5566
Prayas Seva Foundation,Scholarship for Disabled,education,Goa,462794,546
Nirman Seva Foundation,Community Medicine Garden,health,Jammu and Kashmir,1738716,6015
Samarthan Seva Foundation,Solar Power Training,environment,Maharashtra,1473138,6608
Vidushi Seva Foundation,Water Conservation Awareness,water and sanitation,Tamil Nadu,508307,2086
Arogya Seva Foundation,Elderly Home Delivery,women empowerment,Rajasthan,853587,1608
Prakriti Seva Foundation,Health Camp in Slums,livelihood,Bihar,2299345,3725
Jyoti Seva Foundation,Digital Classrooms,technology,Gujarat,637967,3506
Pragya Seva Foundation,Cultural Preservation Programme,community development,Karnataka,819604,2331
Sahara Seva Foundation,Spinal Injury Rehabilitation,education,Uttar Pradesh,1990402,2096
Uday Seva Foundation,Rural Market Development,health,Madhya Pradesh,366187,3680
Shiksha Seva Foundation,Toy Library Initiative,environment,Kerala,2358231,852
Vikas Aarogya Seva,Mobile Blood Bank,water and sanitation,Delhi NCR,262182,5392
Saksham Aarogya Seva,Agricultural Innovation Hub,women empowerment,Odisha,2317390,6898
Anand Aarogya Seva,Special Education Programme,livelihood,Northeast,111898,7988
Parivartan Aarogya Seva,Veterinary Aid Camp,technology,Andhra Pradesh,441172,7638
Asha Aarogya Seva,Community Health Survey,community development,West Bengal,1041447,1412
Vidya Aarogya Seva,Urban Farming Initiative,education,Punjab,1754624,4028
Roshni Aarogya Seva,Braille Literacy Programme,health,Haryana,2068963,1801
Sahaya Aarogya Seva,Orphanage Support Programme,environment,Jharkhand,1732084,7442
Greenleaf Aarogya Seva,Solar Water Heater Distribution,water and sanitation,Chhattisgarh,295934,1398
Jan Kalyan Aarogya Seva,Dental Health Camp,women empowerment,Uttarakhand,1639528,67
Umeed Aarogya Seva,Forest Guard Training,livelihood,Himachal Pradesh,1687547,2222
Vasundhara Aarogya Seva,Women Entrepreneurship Programme,technology,Assam,1958443,2386
Sahajdoor Aarogya Seva,Nutrition for Pregnant Women,community development,Goa,1824221,5756
Jeevika Aarogya Seva,Rural Internet Access,education,Jammu and Kashmir,2381061,5472
Aarohi Aarogya Seva,Children's Science Fair,health,Maharashtra,2091247,1318
Prayas Aarogya Seva,Disaster Relief Warehouse,environment,Tamil Nadu,846489,2480
Nirman Aarogya Seva,Community Library Network,water and sanitation,Rajasthan,963103,7985
Samarthan Aarogya Seva,Traditional Medicine Centre,women empowerment,Bihar,295296,4794
Vidushi Aarogya Seva,Rural CCTV Safety Network,livelihood,Gujarat,2324131,549
Arogya Aarogya Seva,Youth Exchange Programme,technology,Karnataka,1365353,518
Prakriti Aarogya Seva,Football Academy for Slum Kids,community development,Uttar Pradesh,260312,4835
Jyoti Aarogya Seva,Organic Certification Support,education,Madhya Pradesh,2049795,4169
Pragya Aarogya Seva,Women's Self-Help Credit,health,Kerala,2277704,1339
Sahara Aarogya Seva,Rural Ambulance Service,environment,Delhi NCR,288570,7920
Uday Aarogya Seva,Senior Citizen Day Care,water and sanitation,Odisha,2179987,706
Shiksha Aarogya Seva,Health Card Distribution,women empowerment,Northeast,829406,611
Vikas Van Seva,Rain Water Recharge Pits,livelihood,Andhra Pradesh,335048,5581
Saksham Van Seva,Maternity Home Upgrade,technology,West Bengal,1036516,3357
Anand Van Seva,Street Light Installation,community development,Punjab,552840,7763
Parivartan Van Seva,Village Handpump Repair,education,Haryana,2439391,2066
Asha Van Seva,Balwadi Support Programme,health,Jharkhand,2478162,4920
Vidya Van Seva,Tree Plantation Drive,environment,Chhattisgarh,216688,5123
Roshni Van Seva,Digital Health Records,water and sanitation,Uttarakhand,393863,3484
Sahaya Van Seva,Women Police Support,women empowerment,Himachal Pradesh,2498099,4680
Greenleaf Van Seva,Rural MBA Programme,livelihood,Assam,2242709,2641
Jan Kalyan Van Seva,Autism Support Centre,technology,Goa,1143730,1723
Umeed Van Seva,Clean Cooking Fuel Programme,community development,Jammu and Kashmir,1367782,2005
Vasundhara Van Seva,Nursing Training College,education,Maharashtra,1164068,3292
Sahajdoor Van Seva,Tribal Art Promotion,health,Tamil Nadu,598943,5552
Jeevika Van Seva,Mobile Library Van,environment,Rajasthan,1308278,3795
Aarohi Van Seva,Eye Screening Programme,water and sanitation,Bihar,1376143,7660
Prayas Van Seva,Rural Entrepreneurship Cell,women empowerment,Gujarat,354267,126
Nirman Van Seva,Paralysis Rehabilitation,livelihood,Karnataka,1972188,5138
Samarthan Van Seva,Children's Parliament,technology,Uttar Pradesh,2411366,869
Vidushi Van Seva,Wetland Conservation,community development,Madhya Pradesh,357277,4454
Arogya Van Seva,Rural E-Governance Centre,education,Kerala,944033,4194
Prakriti Van Seva,Homeopathy Clinic,health,Delhi NCR,1162331,1135
Jyoti Van Seva,Youth Skills Assessment,environment,Odisha,1513849,7266
Pragya Van Seva,Textile Waste Recycling,water and sanitation,Northeast,338531,7252
Sahara Van Seva,Community Health Fund,women empowerment,Andhra Pradesh,1074603,3077
Uday Van Seva,Slum Sanitation Programme,livelihood,West Bengal,1245323,1342
Shiksha Van Seva,Solar LED Lamp Distribution,technology,Punjab,1887879,6880
Vikas Seva Initiative,Rural Primary Care Centre,community development,Haryana,2328421,5813
Saksham Seva Initiative,Adolescent Health Programme,education,Jharkhand,1318848,5060
Anand Seva Initiative,Rural School Playground,health,Chhattisgarh,2268538,114
Parivartan Seva Initiative,Ayurveda Health Camp,environment,Uttarakhand,2376170,2502
Asha Seva Initiative,Cultural Village Programme,water and sanitation,Himachal Pradesh,484473,7741
Vidya Seva Initiative,Mid-Day Meal Kitchen,women empowerment,Assam,613257,2216
Roshni Seva Initiative,Water Pipeline Installation,livelihood,Goa,534142,7338
Sahaya Seva Initiative,Old Age Allowance Programme,technology,Jammu and Kashmir,498941,6131
Greenleaf Seva Initiative,Girls' STEM Scholarships,community development,Maharashtra,2370388,1323
Jan Kalyan Seva Initiative,Digital Literacy for Rural Schools,education,Tamil Nadu,1192311,2358
Umeed Seva Initiative,Vocational Training Hub,health,Rajasthan,933444,5928
Vasundhara Seva Initiative,Anaemia-Free District,environment,Bihar,1488144,1717
Sahajdoor Seva Initiative,Women SHG Network,water and sanitation,Gujarat,1157228,4190
Jeevika Seva Initiative,Clean Water Initiative,women empowerment,Karnataka,2099051,2107
Aarohi Seva Initiative,Digital Literacy Program,livelihood,Uttar Pradesh,263066,806
Prayas Seva Initiative,Maternal Health Camps,technology,Madhya Pradesh,1826605,6844
Nirman Seva Initiative,River Cleaning Drive,community development,Kerala,1210480,411
Samarthan Seva Initiative,Polyclinic for Tribal Areas,education,Delhi NCR,64871,2782
Vidushi Seva Initiative,Scholarship for First-Gen Students,health,Odisha,598697,5269
Arogya Seva Initiative,Livelihood Training,environment,Northeast,1148720,1373
Prakriti Seva Initiative,Community Forestry,water and sanitation,Andhra Pradesh,1903192,4569
Jyoti Seva Initiative,Mobile Health Van,women empowerment,West Bengal,1843848,4644
Pragya Seva Initiative,After-School Tutoring,livelihood,Punjab,90557,966
Sahara Seva Initiative,Skill Development Centre,technology,Haryana,365595,7791
Uday Seva Initiative,Rural Water Purification,community development,Jharkhand,675178,4519
Shiksha Seva Initiative,Women Safety Helpline,education,Chhattisgarh,201112,6887
Vikas Education Seva,Senior Citizen Care,health,Uttarakhand,1598604,4821
Saksham Education Seva,Solar Electrification of Schools,environment,Himachal Pradesh,2367458,1263
Anand Education Seva,Mobile Health Units,water and sanitation,Assam,1852656,1094
Parivartan Education Seva,STEM Labs in Government Schools,women empowerment,Goa,225442,2575
Asha Education Seva,Girls' Education Support,livelihood,Jammu and Kashmir,1579459,7414
Vidya Education Seva,Disability Rehabilitation Centre,technology,Maharashtra,217331,7413
Roshni Education Seva,Mangrove Restoration,community development,Tamil Nadu,1550760,1770
Sahaya Education Seva,Primary Healthcare Camp,education,Rajasthan,1096603,5513
Greenleaf Education Seva,Self-Employment for Women,health,Bihar,481147,2947
Jan Kalyan Education Seva,Plastic Waste Management,environment,Gujarat,2398321,7292
Umeed Education Seva,Financial Literacy Program,water and sanitation,Karnataka,1754470,5134
Vasundhara Education Seva,Community Health Workers Training,women empowerment,Uttar Pradesh,698243,7633
Sahajdoor Education Seva,Nutrition Awareness Drive,livelihood,Madhya Pradesh,1042948,7132
Jeevika Education Seva,Eye Care Camp,technology,Kerala,731581,6602
Aarohi Education Seva,Mid-Day Meal Enhancement,community development,Delhi NCR,792611,7270
Prayas Education Seva,Rainwater Harvesting,education,Odisha,1779288,253
Nirman Education Seva,Rural Library Network,health,Northeast,802293,6083
Samarthan Education Seva,Craft Revival Programme,environment,Andhra Pradesh,1443286,6459
Vidushi Education Seva,Anti-Drug Campaign,water and sanitation,West Bengal,1776850,6621
Arogya Education Seva,Legal Aid Clinic,women empowerment,Punjab,1090888,2235
Prakriti Education Seva,Menstrual Hygiene Initiative,livelihood,Haryana,717724,6500
Jyoti Education Seva,Skill India Partnership,technology,Jharkhand,503385,3183
Pragya Education Seva,Village Electrification,community development,Chhattisgarh,212422,7083
Sahara Education Seva,Clean Ganga Awareness,education,Uttarakhand,2024217,1872
Uday Education Seva,Organic Farming Training,health,Himachal Pradesh,887069,6739
